wd(m),factor
0.0,0.0
0.01,0.003
0.02,0.006
0.03,0.009
0.04,0.012
0.05,0.015
0.06,0.018
0.07,0.021
0.08,0.024
0.09,0.027
0.1,0.03
0.11,0.033
0.12,0.036
0.13,0.039
0.14,0.041
0.15,0.044
0.16,0.047
0.17,0.05
0.18,0.053
0.19,0.056
0.2,0.059
0.21,0.062
0.22,0.065
0.23,0.068
0.24,0.071
0.25,0.074
0.26,0.077
0.27,0.08
0.28,0.083
0.29,0.086
0.3,0.089
0.31,0.092
0.32,0.095
0.33,0.098
0.34,0.101
0.35,0.104
0.36,0.107
0.37,0.11
0.38,0.113
0.39,0.116
0.4,0.119
0.41,0.121
0.42,0.124
0.43,0.127
0.44,0.13
0.45,0.133
0.46,0.136
0.47,0.139
0.48,0.142
0.49,0.145
0.5,0.148
0.51,0.15
0.52,0.152
0.53,0.153
0.54,0.155
0.55,0.157
0.56,0.159
0.57,0.161
0.58,0.162
0.59,0.164
0.6,0.166
0.61,0.168
0.62,0.169
0.63,0.171
0.64,0.173
0.65,0.175
0.66,0.177
0.67,0.178
0.68,0.18
0.69,0.182
0.7,0.184
0.71,0.185
0.72,0.187
0.73,0.189
0.74,0.191
0.75,0.193
0.76,0.194
0.77,0.196
0.78,0.198
0.79,0.2
0.8,0.201
0.81,0.203
0.82,0.205
0.83,0.207
0.84,0.209
0.85,0.21
0.86,0.212
0.87,0.214
0.88,0.216
0.89,0.217
0.9,0.219
0.91,0.221
0.92,0.223
0.93,0.225
0.94,0.226
0.95,0.228
0.96,0.23
0.97,0.232
0.98,0.233
0.99,0.235
1.0,0.237
1.01,0.239
1.02,0.241
1.03,0.242
1.04,0.244
1.05,0.246
1.06,0.248
1.07,0.249
1.08,0.251
1.09,0.253
1.1,0.255
1.11,0.257
1.12,0.258
1.13,0.26
1.14,0.262
1.15,0.264
1.16,0.265
1.17,0.267
1.18,0.269
1.19,0.271
1.2,0.273
1.21,0.274
1.22,0.276
1.23,0.278
1.24,0.28
1.25,0.281
1.26,0.283
1.27,0.285
1.28,0.287
1.29,0.289
1.3,0.29
1.31,0.292
1.32,0.294
1.33,0.296
1.34,0.297
1.35,0.299
1.36,0.301
1.37,0.303
1.38,0.305
1.39,0.306
1.4,0.308
1.41,0.31
1.42,0.312
1.43,0.313
1.44,0.315
1.45,0.317
1.46,0.319
1.47,0.321
1.48,0.322
1.49,0.324
1.5,0.326
1.51,0.328
1.52,0.329
