wd(m),factor
0.0,0.0
0.01,0.0
0.02,0.01
0.03,0.01
0.04,0.01
0.05,0.01
0.06,0.02
0.07,0.02
0.08,0.02
0.09,0.02
0.1,0.03
0.11,0.03
0.12,0.03
0.13,0.03
0.14,0.04
0.15,0.04
0.16,0.04
0.17,0.04
0.18,0.05
0.19,0.05
0.2,0.05
0.21,0.05
0.22,0.06
0.23,0.06
0.24,0.06
0.25,0.06
0.26,0.07
0.27,0.07
0.28,0.07
0.29,0.07
0.3,0.07
0.31,0.07
0.32,0.07
0.33,0.08
0.34,0.08
0.35,0.08
0.36,0.08
0.37,0.08
0.38,0.08
0.39,0.08
0.4,0.09
0.41,0.09
0.42,0.09
0.43,0.09
0.44,0.09
0.45,0.09
0.46,0.09
0.47,0.1
0.48,0.1
0.49,0.1
0.5,0.1
0.51,0.1
0.52,0.1
0.53,0.1
0.54,0.11
0.55,0.11
0.56,0.11
0.57,0.11
0.58,0.11
0.59,0.11
0.6,0.11
0.61,0.12
0.62,0.12
0.63,0.12
0.64,0.12
0.65,0.12
0.66,0.12
0.67,0.12
0.68,0.13
0.69,0.13
0.7,0.13
0.71,0.13
0.72,0.13
0.73,0.13
0.74,0.13
0.75,0.14
0.76,0.14
0.77,0.14
0.78,0.14
0.79,0.14
0.8,0.14
0.81,0.14
0.82,0.14
0.83,0.14
0.84,0.15
0.85,0.15
0.86,0.15
0.87,0.15
0.88,0.15
0.89,0.15
0.9,0.15
0.91,0.15
0.92,0.16
0.93,0.16
0.94,0.16
0.95,0.16
0.96,0.16
0.97,0.16
0.98,0.16
0.99,0.16
1.0,0.17
1.01,0.17
1.02,0.17
1.03,0.17
1.04,0.17
1.05,0.17
1.06,0.17
1.07,0.17
1.08,0.18
1.09,0.18
1.1,0.18
1.11,0.18
1.12,0.18
1.13,0.18
1.14,0.18
1.15,0.19
1.16,0.19
1.17,0.19
1.18,0.19
1.19,0.19
1.2,0.19
1.21,0.19
1.22,0.2
1.23,0.2
1.24,0.2
1.25,0.2
1.26,0.2
1.27,0.2
1.28,0.2
1.29,0.21
1.3,0.21
1.31,0.21
1.32,0.21
1.33,0.21
1.34,0.21
1.35,0.21
1.36,0.22
1.37,0.22
1.38,0.22
1.39,0.22
1.4,0.22
1.41,0.22
1.42,0.22
1.43,0.23
1.44,0.23
1.45,0.23
1.46,0.23
1.47,0.23
1.48,0.23
1.49,0.23
1.5,0.24
1.51,0.24
1.52,0.24
1.53,0.24
1.54,0.24
1.55,0.24
1.56,0.24
1.57,0.24
1.58,0.24
1.59,0.25
1.6,0.25
1.61,0.25
1.62,0.25
1.63,0.25
1.64,0.25
1.65,0.25
1.66,0.25
1.67,0.26
1.68,0.26
1.69,0.26
1.7,0.26
