wd(m),factor
0.0,0.0
0.01,0.01
0.02,0.03
0.03,0.04
0.04,0.06
0.05,0.07
0.06,0.08
0.07,0.1
0.08,0.11
0.09,0.13
0.1,0.14
0.11,0.15
0.12,0.17
0.13,0.18
0.14,0.2
0.15,0.21
0.16,0.22
0.17,0.24
0.18,0.25
0.19,0.27
0.2,0.28
0.21,0.29
0.22,0.31
0.23,0.32
0.24,0.34
0.25,0.35
0.26,0.35
0.27,0.36
0.28,0.36
0.29,0.37
0.3,0.37
0.31,0.37
0.32,0.38
0.33,0.38
0.34,0.39
0.35,0.39
0.36,0.4
0.37,0.4
0.38,0.4
0.39,0.41
0.4,0.41
0.41,0.42
0.42,0.42
0.43,0.42
0.44,0.43
0.45,0.43
0.46,0.44
0.47,0.44
0.48,0.44
0.49,0.45
0.5,0.45
0.51,0.46
0.52,0.46
0.53,0.47
0.54,0.47
0.55,0.48
0.56,0.48
0.57,0.49
0.58,0.49
0.59,0.49
0.6,0.5
0.61,0.5
0.62,0.51
0.63,0.51
0.64,0.52
0.65,0.52
0.66,0.53
0.67,0.53
0.68,0.54
0.69,0.54
0.7,0.55
0.71,0.55
0.72,0.56
0.73,0.56
0.74,0.57
0.75,0.57
0.76,0.57
0.77,0.58
0.78,0.58
0.79,0.59
0.8,0.59
0.81,0.6
0.82,0.6
0.83,0.61
0.84,0.61
0.85,0.62
0.86,0.62
0.87,0.63
0.88,0.63
0.89,0.64
0.9,0.64
0.91,0.64
0.92,0.65
0.93,0.65
0.94,0.66
0.95,0.66
0.96,0.67
0.97,0.67
0.98,0.68
0.99,0.68
1.0,0.69
1.01,0.69
1.02,0.69
1.03,0.7
1.04,0.7
1.05,0.7
1.06,0.71
1.07,0.71
1.08,0.71
1.09,0.72
1.1,0.72
1.11,0.73
1.12,0.73
1.13,0.73
1.14,0.74
1.15,0.74
1.16,0.74
1.17,0.75
1.18,0.75
1.19,0.75
1.2,0.76
1.21,0.76
1.22,0.76
1.23,0.77
1.24,0.77
1.25,0.77
1.26,0.78
1.27,0.78
1.28,0.78
1.29,0.79
1.3,0.79
1.31,0.79
1.32,0.8
1.33,0.8
1.34,0.8
1.35,0.81
1.36,0.81
1.37,0.81
1.38,0.82
1.39,0.82
1.4,0.82
1.41,0.83
1.42,0.83
1.43,0.83
1.44,0.84
1.45,0.84
1.46,0.85
1.47,0.85
1.48,0.85
1.49,0.86
1.5,0.86
1.51,0.86
1.52,0.87
1.53,0.87
1.54,0.87
1.55,0.87
1.56,0.88
1.57,0.88
1.58,0.88
1.59,0.89
1.6,0.89
1.61,0.89
1.62,0.9
1.63,0.9
1.64,0.9
1.65,0.91
1.66,0.91
1.67,0.91
1.68,0.92
1.69,0.92
1.7,0.92
1.71,0.93
1.72,0.93
1.73,0.93
1.74,0.94
1.75,0.94
1.76,0.94
1.77,0.94
1.78,0.94
1.79,0.94
1.8,0.95
1.81,0.95
1.82,0.95
1.83,0.95
1.84,0.95
1.85,0.95
1.86,0.95
1.87,0.95
1.88,0.96
1.89,0.96
1.9,0.96
1.91,0.96
1.92,0.96
1.93,0.96
1.94,0.96
1.95,0.96
1.96,0.97
1.97,0.97
1.98,0.97
1.99,0.97
2.0,0.97
2.01,0.97
2.02,0.97
2.03,0.97
2.04,0.97
2.05,0.97
2.06,0.97
2.07,0.97
2.08,0.98
2.09,0.98
2.1,0.98
2.11,0.98
2.12,0.98
2.13,0.98
2.14,0.98
2.15,0.98
2.16,0.98
2.17,0.98
2.18,0.98
2.19,0.98
2.2,0.98
2.21,0.98
2.22,0.98
2.23,0.98
2.24,0.98
2.25,0.99
2.26,0.99
2.27,0.99
2.28,0.99
2.29,0.99
2.3,0.99
2.31,0.99
2.32,0.99
2.33,0.99
2.34,0.99
2.35,0.99
2.36,0.99
2.37,0.99
2.38,0.99
2.39,0.99
2.4,0.99
2.41,0.99
2.42,0.99
2.43,0.99
2.44,0.99
2.45,0.99
2.46,0.99
2.47,0.99
2.48,0.99
2.49,0.99
2.5,0.99
2.51,0.99
2.52,0.99
2.53,0.99
2.54,0.99
2.55,0.99
2.56,0.99
2.57,0.99
2.58,0.99
2.59,0.99
2.6,0.99
2.61,0.99
2.62,0.99
2.63,0.99
2.64,0.99
2.65,0.99
2.66,0.99
2.67,0.99
2.68,0.99
2.69,0.99
2.7,0.99
2.71,0.99
2.72,0.99
2.73,0.99
2.74,0.99
2.75,0.99
2.76,0.99
2.77,0.99
2.78,0.99
2.79,1.0
2.8,1.0
2.81,1.0
2.82,1.0
2.83,1.0
2.84,1.0
2.85,1.0
2.86,1.0
2.87,1.0
2.88,1.0
2.89,1.0
2.9,1.0
2.91,1.0
2.92,1.0
2.93,1.0
2.94,1.0
2.95,1.0
2.96,1.0
2.97,1.0
2.98,1.0
2.99,1.0
3.0,1.0
3.01,1.0
3.02,1.0
3.03,1.0
3.04,1.0
3.05,1.0
3.06,1.0
3.07,1.0
3.08,1.0
3.09,1.0
3.1,1.0
3.11,1.0
3.12,1.0
3.13,1.0
3.14,1.0
3.15,1.0
3.16,1.0
3.17,1.0
3.18,1.0
3.19,1.0
3.2,1.0
3.21,1.0
3.22,1.0
3.23,1.0
3.24,1.0
3.25,1.0
3.26,1.0
3.27,1.0
3.28,1.0
3.29,1.0
3.3,1.0
3.31,1.0
3.32,1.0
3.33,1.0
3.34,1.0
3.35,1.0
3.36,1.0
3.37,1.0
3.38,1.0
3.39,1.0
3.4,1.0
3.41,1.0
3.42,1.0
3.43,1.0
3.44,1.0
3.45,1.0
3.46,1.0
3.47,1.0
3.48,1.0
3.49,1.0
3.5,1.0
3.51,1.0
3.52,1.0
3.53,1.0
3.54,1.0
3.55,1.0
3.56,1.0
3.57,1.0
3.58,1.0
3.59,1.0
3.6,1.0
3.61,1.0
3.62,1.0
3.63,1.0
3.64,1.0
3.65,1.0
3.66,1.0
3.67,1.0
3.68,1.0
3.69,1.0
3.7,1.0
3.71,1.0
3.72,1.0
3.73,1.0
3.74,1.0
3.75,1.0
3.76,1.0
3.77,1.0
3.78,1.0
3.79,1.0
3.8,1.0
3.81,1.0
3.82,1.0
3.83,1.0
3.84,1.0
3.85,1.0
3.86,1.0
3.87,1.0
3.88,1.0
3.89,1.0
3.9,1.0
3.91,1.0
3.92,1.0
3.93,1.0
3.94,1.0
3.95,1.0
3.96,1.0
3.97,1.0
3.98,1.0
3.99,1.0
4.0,1.0
4.01,1.0
4.02,1.0
4.03,1.0
4.04,1.0
4.05,1.0
4.06,1.0
4.07,1.0
4.08,1.0
4.09,1.0
4.1,1.0
4.11,1.0
4.12,1.0
4.13,1.0
4.14,1.0
4.15,1.0
4.16,1.0
4.17,1.0
4.18,1.0
4.19,1.0
4.2,1.0
4.21,1.0
4.22,1.0
4.23,1.0
4.24,1.0
4.25,1.0
4.26,1.0
4.27,1.0
4.28,1.0
