wd(m),factor
1.25,0.461
1.26,0.462
1.27,0.462
1.28,0.462
1.29,0.462
1.3,0.462
1.31,0.462
1.32,0.462
1.33,0.463
1.34,0.463
1.35,0.463
1.36,0.463
1.37,0.463
1.38,0.463
1.39,0.464
1.4,0.464
1.41,0.464
1.42,0.464
1.43,0.464
1.44,0.464
1.45,0.465
1.46,0.465
1.47,0.465
1.48,0.465
1.49,0.465
1.5,0.465
1.51,0.465
1.52,0.466
1.53,0.466
1.54,0.466
1.55,0.466
1.56,0.466
1.57,0.466
1.58,0.467
1.59,0.467
1.6,0.467
1.61,0.467
1.62,0.467
1.63,0.467
1.64,0.467
1.65,0.468
1.66,0.468
1.67,0.468
1.68,0.468
1.69,0.468
1.7,0.468
1.71,0.469
1.72,0.469
1.73,0.469
1.74,0.469
1.75,0.469
1.76,0.469
1.77,0.47
1.78,0.47
1.79,0.47
1.8,0.47
1.81,0.47
1.82,0.47
1.83,0.47
1.84,0.47
1.85,0.47
1.86,0.47
1.87,0.47
1.88,0.47
1.89,0.47
1.9,0.47
1.91,0.47
1.92,0.47
1.93,0.47
1.94,0.47
1.95,0.47
1.96,0.47
1.97,0.47
1.98,0.47
1.99,0.47
2.0,0.47
2.01,0.47
2.02,0.47
2.03,0.47
2.04,0.47
2.05,0.47
2.06,0.47
2.07,0.47
2.08,0.47
2.09,0.47
2.1,0.47
2.11,0.47
2.12,0.47
2.13,0.47
2.14,0.47
2.15,0.47
2.16,0.47
2.17,0.47
2.18,0.47
2.19,0.47
2.2,0.47
2.21,0.47
2.22,0.47
2.23,0.47
2.24,0.47
2.25,0.47
2.26,0.47
2.27,0.47
2.28,0.47
2.29,0.47
2.3,0.47
2.31,0.47
2.32,0.47
2.33,0.47
2.34,0.47
2.35,0.47
2.36,0.47
2.37,0.47
2.38,0.47
2.39,0.47
2.4,0.47
2.41,0.47
2.42,0.47
2.43,0.47
2.44,0.47
2.45,0.47
2.46,0.47
2.47,0.47
2.48,0.47
2.49,0.47
2.5,0.47
2.51,0.47
2.52,0.47
2.53,0.47
2.54,0.47
2.55,0.47
2.56,0.47
2.57,0.47
2.58,0.47
2.59,0.47
2.6,0.47
2.61,0.47
2.62,0.47
2.63,0.47
2.64,0.47
2.65,0.47
2.66,0.47
2.67,0.47
2.68,0.47
2.69,0.47
2.7,0.47
2.71,0.47
2.72,0.47
2.73,0.47
2.74,0.47
2.75,0.47
2.76,0.47
2.77,0.47
2.78,0.47
2.79,0.47
2.8,0.47
2.81,0.47
2.82,0.47
2.83,0.47
2.84,0.47
2.85,0.47
2.86,0.47
2.87,0.47
2.88,0.47
2.89,0.47
2.9,0.47
2.91,0.47
2.92,0.47
2.93,0.47
2.94,0.47
2.95,0.47
2.96,0.47
2.97,0.47
2.98,0.47
2.99,0.47
3.0,0.47
3.01,0.47
3.02,0.47
3.03,0.47
3.04,0.47
3.05,0.47
3.06,0.47
3.07,0.47
3.08,0.47
3.09,0.47
3.1,0.47
3.11,0.47
3.12,0.47
3.13,0.47
3.14,0.47
3.15,0.47
3.16,0.47
3.17,0.47
3.18,0.47
3.19,0.47
3.2,0.47
3.21,0.47
3.22,0.47
3.23,0.47
3.24,0.47
3.25,0.47
3.26,0.47
3.27,0.47
3.28,0.47
3.29,0.47
3.3,0.47
3.31,0.47
3.32,0.47
3.33,0.47
3.34,0.47
3.35,0.47
3.36,0.47
3.37,0.47
3.38,0.47
3.39,0.47
3.4,0.47
3.41,0.47
3.42,0.47
3.43,0.47
3.44,0.47
3.45,0.47
3.46,0.47
3.47,0.47
3.48,0.47
3.49,0.47
3.5,0.47
3.51,0.47
3.52,0.47
3.53,0.47
3.54,0.47
3.55,0.47
3.56,0.47
3.57,0.47
3.58,0.47
3.59,0.47
3.6,0.47
3.61,0.47
3.62,0.47
3.63,0.47
3.64,0.47
3.65,0.47
3.66,0.47
3.67,0.47
3.68,0.47
3.69,0.47
3.7,0.47
3.71,0.47
3.72,0.47
3.73,0.47
3.74,0.47
3.75,0.47
3.76,0.47
3.77,0.47
3.78,0.47
3.79,0.47
3.8,0.47
3.81,0.47
3.82,0.47
3.83,0.47
3.84,0.47
3.85,0.47
3.86,0.47
3.87,0.47
3.88,0.47
3.89,0.47
3.9,0.47
3.91,0.47
3.92,0.47
3.93,0.47
3.94,0.47
3.95,0.47
3.96,0.47
3.97,0.47
3.98,0.47
3.99,0.47
4.0,0.47
4.01,0.47
4.02,0.47
4.03,0.47
4.04,0.47
4.05,0.47
4.06,0.47
4.07,0.47
4.08,0.47
4.09,0.47
4.1,0.47
4.11,0.47
4.12,0.47
4.13,0.47
4.14,0.47
4.15,0.47
4.16,0.47
4.17,0.47
4.18,0.47
4.19,0.47
4.2,0.47
4.21,0.47
4.22,0.47
4.23,0.47
4.24,0.47
4.25,0.47
4.26,0.47
4.27,0.47
4.28,0.47
4.29,0.47
4.3,0.47
4.31,0.47
4.32,0.47
4.33,0.47
4.34,0.47
4.35,0.47
4.36,0.47
4.37,0.47
4.38,0.47
4.39,0.47
4.4,0.47
4.41,0.47
4.42,0.47
4.43,0.47
4.44,0.47
4.45,0.47
4.46,0.47
4.47,0.47
4.48,0.47
4.49,0.47
4.5,0.47
4.51,0.47
4.52,0.47
4.53,0.47
4.54,0.47
4.55,0.47
4.56,0.47
4.57,0.47
4.58,0.47
4.59,0.47
4.6,0.47
4.61,0.47
4.62,0.47
4.63,0.47
4.64,0.47
4.65,0.47
4.66,0.47
4.67,0.47
4.68,0.47
4.69,0.47
4.7,0.47
4.71,0.47
4.72,0.47
4.73,0.47
4.74,0.47
4.75,0.47
4.76,0.47
4.77,0.47
4.78,0.47
4.79,0.47
4.8,0.47
4.81,0.47
4.82,0.47
4.83,0.47
4.84,0.47
4.85,0.47
4.86,0.47
4.87,0.47
4.88,0.47
4.89,0.47
4.9,0.47
4.91,0.47
4.92,0.47
4.93,0.47
4.94,0.47
4.95,0.47
4.96,0.47
4.97,0.47
4.98,0.47
4.99,0.47
5.0,0.47
