wd(m),factor
0.0,0.0
0.01,0.002
0.02,0.004
0.03,0.006
0.04,0.008
0.05,0.01
0.06,0.012
0.07,0.014
0.08,0.016
0.09,0.018
0.1,0.02
0.11,0.022
0.12,0.024
0.13,0.026
0.14,0.028
0.15,0.03
0.16,0.032
0.17,0.034
0.18,0.036
0.19,0.038
0.2,0.04
0.21,0.042
0.22,0.044
0.23,0.046
0.24,0.048
0.25,0.05
0.26,0.052
0.27,0.054
0.28,0.056
0.29,0.058
0.3,0.06
0.31,0.062
0.32,0.064
0.33,0.066
0.34,0.068
0.35,0.07
0.36,0.072
0.37,0.074
0.38,0.076
0.39,0.078
0.4,0.08
0.41,0.082
0.42,0.084
0.43,0.086
0.44,0.088
0.45,0.09
0.46,0.092
0.47,0.094
0.48,0.096
0.49,0.098
0.5,0.1
0.51,0.102
0.52,0.104
0.53,0.106
0.54,0.108
0.55,0.11
0.56,0.112
0.57,0.114
0.58,0.116
0.59,0.118
0.6,0.12
0.61,0.122
0.62,0.124
0.63,0.126
0.64,0.128
0.65,0.13
0.66,0.132
0.67,0.134
0.68,0.136
0.69,0.138
0.7,0.14
0.71,0.142
0.72,0.144
0.73,0.146
0.74,0.148
0.75,0.15
0.76,0.152
0.77,0.154
0.78,0.156
0.79,0.158
0.8,0.16
0.81,0.162
0.82,0.164
0.83,0.166
0.84,0.168
0.85,0.17
0.86,0.172
0.87,0.174
0.88,0.176
0.89,0.178
0.9,0.18
0.91,0.182
0.92,0.184
0.93,0.186
0.94,0.188
0.95,0.19
0.96,0.192
0.97,0.194
0.98,0.196
0.99,0.198
1.0,0.2
1.01,0.201
1.02,0.202
1.03,0.202
1.04,0.203
1.05,0.204
1.06,0.205
1.07,0.206
1.08,0.206
1.09,0.207
1.1,0.208
1.11,0.209
1.12,0.21
1.13,0.21
1.14,0.211
1.15,0.212
1.16,0.213
1.17,0.214
1.18,0.214
1.19,0.215
1.2,0.216
1.21,0.217
1.22,0.218
1.23,0.218
1.24,0.219
1.25,0.22
1.26,0.221
1.27,0.222
1.28,0.222
1.29,0.223
1.3,0.224
1.31,0.225
1.32,0.226
1.33,0.226
1.34,0.227
1.35,0.228
1.36,0.229
1.37,0.23
1.38,0.23
1.39,0.231
1.4,0.232
1.41,0.233
1.42,0.234
1.43,0.234
1.44,0.235
1.45,0.236
1.46,0.237
1.47,0.238
1.48,0.238
1.49,0.239
1.5,0.24
1.51,0.241
1.52,0.242
1.53,0.242
1.54,0.243
1.55,0.244
1.56,0.245
1.57,0.246
1.58,0.246
1.59,0.247
1.6,0.248
1.61,0.249
1.62,0.25
1.63,0.25
1.64,0.251
1.65,0.252
1.66,0.253
1.67,0.254
1.68,0.254
1.69,0.255
1.7,0.256
1.71,0.257
1.72,0.258
1.73,0.258
1.74,0.259
1.75,0.26
1.76,0.261
1.77,0.262
1.78,0.262
1.79,0.263
1.8,0.264
1.81,0.265
1.82,0.266
1.83,0.266
1.84,0.267
1.85,0.268
1.86,0.269
1.87,0.27
1.88,0.27
1.89,0.271
1.9,0.272
1.91,0.273
1.92,0.274
1.93,0.274
1.94,0.275
1.95,0.276
1.96,0.277
1.97,0.278
1.98,0.278
1.99,0.279
2.0,0.28
2.01,0.281
2.02,0.282
2.03,0.282
2.04,0.283
2.05,0.284
2.06,0.285
2.07,0.286
2.08,0.286
2.09,0.287
2.1,0.288
2.11,0.289
2.12,0.29
2.13,0.29
2.14,0.291
2.15,0.292
2.16,0.293
2.17,0.294
2.18,0.294
2.19,0.295
2.2,0.296
2.21,0.297
2.22,0.298
2.23,0.298
2.24,0.299
2.25,0.3
2.26,0.3
2.27,0.3
2.28,0.3
